office_type,state,county,fips,margin_pct_1,margin_votes_1,margin_pct_2,margin_votes_2
President,SC,Pickens,077,-50.849754978625796,-29262,-52.72861206032207,-25769
President,SC,Richland,079,38.311956331066646,74257,32.850059031877215,55648
President,SC,Saluda,081,-35.011861117101574,-3247,-31.73267905129104,-2716
President,SC,Spartanburg,083,-27.33443207426592,-40634,-29.979386222711582,-36213
President,SC,Sumter,085,13.03965658217498,6379,12.011896113330911,5291
President,SC,Union,087,-24.500264011465642,-3248,-19.28518242740134,-2331
President,SC,Williamsburg,089,29.75914920237723,4757,33.79626553259353,5086
President,SC,York,091,-16.465810482471365,-23719,-22.054220850782457,-25015
President,SD,Aurora,003,-52.313167259786475,-735,-45.06041222459133,-634
President,SD,Beadle,005,-38.144329896907216,-2701,-37.551683402244535,-2543
President,SD,Bennett,007,-19.273034657650044,-228,-22.106179286335944,-254
President,SD,Bon Homme,009,-50.44985004998334,-1514,-47.10827168796234,-1401
President,SD,Brookings,011,-12.974531475252283,-1890,-14.739747634069401,-1869
President,SD,Brown,013,-23.0352766854733,-4042,-25.82386892571216,-4161
President,SD,Brule,015,-43.25301204819277,-1077,-43.44405594405595,-994
President,SD,Buffalo,017,30.783242258652095,169,25.510204081632654,125
President,SD,Butte,019,-58.14244064972928,-2792,-61.251725724804416,-2662
President,SD,Campbell,021,-72.16494845360825,-630,-72.08182912154031,-599
President,SD,Charles Mix,023,-36.34681469733016,-1375,-42.14972327410428,-1447
President,SD,Clark,025,-50.5945945945946,-936,-44.71937235968618,-741
President,SD,Clay,027,11.003861003861005,627,9.844150720063128,499
President,SD,Codington,029,-38.910417141554596,-5121,-39.334990144828176,-4590
President,SD,Corson,031,-1.9485580670303975,-25,-4.51063829787234,-53
President,SD,Custer,033,-42.409901710957406,-2330,-46.013570822731126,-2170
President,SD,Davison,035,-35.07215519280814,-2965,-35.2364185110664,-2802
President,SD,Day,037,-27.564102564102566,-817,-23.771386967601018,-653
President,SD,Deuel,039,-46.38297872340426,-1090,-38.26923076923077,-796
President,SD,Dewey,041,17.344862665310274,341,9.607498535442296,164
President,SD,Douglas,043,-73.34504979496192,-1252,-70.03115264797508,-1124
President,SD,Edmunds,045,-56.4735516372796,-1121,-54.900938477580816,-1053
President,SD,Fall River,047,-45.15091538842157,-1825,-47.431939376929556,-1690
President,SD,Faulk,049,-64.80541455160744,-766,-58.49731663685152,-654
President,SD,Grant,051,-41.70894526034713,-1562,-39.61257720381808,-1411
President,SD,Gregory,053,-58.28166519043401,-1316,-57.81922525107604,-1209
President,SD,Haakon,055,-81.00263852242745,-921,-82.27969348659003,-859
President,SD,Hamlin,057,-55.95199481024976,-1725,-54.16364952932658,-1496
President,SD,Hand,059,-57.734204793028326,-1060,-58.14081408140814,-1057
President,SD,Hanson,061,-51.75879396984924,-1236,-53.48953140578265,-1073
President,SD,Harding,063,-85.97785977859779,-699,-85.30559167750324,-656
President,SD,Hughes,065,-29.4508769918606,-2569,-33.341490272849626,-2725
President,SD,Hutchinson,067,-57.92407751526414,-2182,-54.23476968796434,-1825
President,SD,Hyde,069,-60.28169014084507,-428,-60.57971014492754,-418
President,SD,Jackson,071,-33.99103139013453,-379,-36.43835616438356,-399
President,SD,Jerauld,073,-44.83101391650099,-451,-39.71044467425026,-384
President,SD,Jones,075,-68.1135225375626,-408,-68.27956989247312,-381
President,SD,Kingsbury,077,-39.042821158690174,-1085,-38.298706389651116,-977
President,SD,Lake,079,-27.464668823429253,-1613,-25.40524609490127,-1724
President,SD,Lawrence,081,-30.488863176164305,-4216,-34.242526600236445,-4055
President,SD,Lincoln,083,-23.57081121126065,-7636,-29.420157742459672,-7423
President,SD,Lyman,085,-32.37319974953037,-517,-42.78676988036594,-608
President,SD,McCook,087,-44.793103448275865,-1299,-45.26478546579049,-1171
President,SD,McPherson,089,-64.42598187311178,-853,-61.56552330694811,-700
President,SD,Marshall,091,-19.696969696969695,-429,-15.511042629686697,-302
President,SD,Meade,093,-48.20775420629115,-6590,-53.50658291024869,-6218
President,SD,Mellette,095,-19.63589076723017,-151,-24.011713030746705,-164
President,SD,Miner,097,-41.03690685413005,-467,-39.943609022556394,-425
President,SD,Minnehaha,099,-9.495700019496134,-8767,-14.608435659251498,-11433
President,SD,Moody,101,-24.079850280723644,-772,-23.447098976109213,-687
President,SD,Oglala,102,79.125,2532,78.14226519337016,2263
President,SD,Pennington,103,-25.13474042908307,-14457,-32.94861858779665,-15730
President,SD,Perkins,105,-69.62252846015578,-1162,-71.29514321295143,-1145
President,SD,Potter,107,-66.08695652173913,-912,-63.97003745318352,-854
President,SD,Roberts,109,-13.373577896447644,-576,-15.517241379310345,-603
President,SD,Sanborn,111,-54.68354430379747,-648,-51.46927871772039,-578
President,SD,Spink,115,-34.96680366740436,-1106,-31.684174855981023,-935
President,SD,Stanley,117,-47.336561743341406,-782,-52.265475430759416,-819
President,SD,Sully,119,-58.17204301075269,-541,-62.95005807200929,-542
President,SD,Todd,121,56.36077195746357,1431,47.90588235294118,1018
President,SD,Tripp,123,-61.795252225519285,-1666,-61.10266159695818,-1607
President,SD,Turner,125,-47.29551451187335,-2151,-47.6144578313253,-1976
President,SD,Union,127,-36.352343308865045,-3219,-38.77137428752375,-3061
President,SD,Walworth,129,-54.30232558139535,-1401,-58.09446911586597,-1439
President,SD,Yankton,135,-23.53211009174312,-2565,-24.46963394342762,-2353
President,SD,Ziebach,137,8.498896247240618,77,-2.088772845953003,-16
President,TN,Anderson,001,-32.17036828788305,-11443,-34.2865794166134,-10191
President,TN,Bedford,003,-51.87028499580889,-9901,-52.751633986928105,-8071
President,TN,Benton,005,-57.011019283746556,-4139,-51.265422334704205,-3241
President,TN,Bledsoe,007,-65.1962486974644,-3754,-58.60215053763441,-2725
President,TN,Blount,009,-44.19372757435181,-29437,-48.795540897606514,-25300
President,TN,Bradley,011,-55.277444674588466,-25353,-59.10345905396958,-22691
President,TN,Campbell,013,-66.22915690082368,-9890,-60.876519513755596,-7612
President,TN,Cannon,015,-59.920695439987796,-3929,-54.34987733534629,-2880
President,TN,Carroll,017,-55.825283494330115,-6646,-52.33717216684409,-5408
President,TN,Carter,019,-61.46905111873265,-15055,-64.04039441718668,-13444
President,TN,Cheatham,021,-44.047384007897335,-8924,-46.88112241673513,-7418
President,TN,Chester,023,-59.86286919831224,-4540,-60.30927835051546,-2925
President,TN,Claiborne,025,-64.90536886828892,-8402,-63.12348215953671,-6758
President,TN,Clay,027,-56.988020536223615,-1998,-49.09215484755053,-1433
President,TN,Cocke,029,-64.80247661350023,-9629,-64.51106706309878,-7811
President,TN,Coffee,031,-50.15237624577877,-12178,-48.59512440311636,-9668
President,TN,Crockett,033,-53.827281648675175,-3291,-49.66580022279985,-2675
President,TN,Cumberland,035,-57.12692462591778,-18440,-57.82949273709027,-15208
President,TN,Davidson,037,32.1273792377397,99485,26.03909845287755,64108
President,TN,Decatur,039,-63.44209120396871,-3325,-58.68472798776491,-2686
President,TN,DeKalb,041,-57.817455656055444,-4922,-51.84438040345821,-3598
President,TN,Dickson,043,-47.43247132343872,-11537,-45.62543638219024,-8495
President,TN,Dyer,045,-57.09927714039392,-8610,-55.379984951091046,-7360
President,TN,Fayette,047,-37.69143752175427,-8663,-37.19569045892469,-7181
President,TN,Fentress,049,-71.3369229006759,-6227,-67.45999179318835,-4932
President,TN,Franklin,051,-47.68450763119381,-9123,-43.72058913402188,-7154
President,TN,Gibson,053,-46.957689724647416,-10488,-43.7487168959146,-8524
President,TN,Giles,055,-49.12519881845035,-6486,-45.40467625899281,-5049
President,TN,Grainger,057,-70.04144464179988,-7098,-68.42830306825297,-5464
President,TN,Greene,059,-60.73984405596895,-17060,-60.98931505683028,-14327
President,TN,Grundy,061,-65.1409052092229,-3814,-55.32631578947368,-2628
President,TN,Hamblen,063,-54.04165482522025,-13311,-57.165071189076244,-11764
President,TN,Hamilton,065,-9.693009882358442,-16586,-16.58610229076888,-23401
President,TN,Hancock,067,-73.25072886297376,-2010,-68.19201435621355,-1520
President,TN,Hardeman,069,-15.701083175991256,-1580,-7.9852845704392985,-738
President,TN,Hardin,071,-67.46403189460912,-7784,-64.22756055885013,-6390
President,TN,Hawkins,073,-65.75088623912343,-16322,-63.34686382526336,-13109
President,TN,Haywood,075,8.99314423981718,669,10.169988276670574,694
President,TN,Henderson,077,-64.10149750415974,-7705,-62.15100275265434,-6322
President,TN,Henry,079,-51.11317870671895,-7691,-49.8331652052456,-6422
President,TN,Hickman,081,-55.40073230268511,-5447,-49.75521772738985,-3862
President,TN,Houston,083,-50.10851871947911,-1847,-41.548183254344394,-1315
President,TN,Humphreys,085,-49.817872753763965,-4103,-41.47639725451744,-2961
President,TN,Jackson,087,-56.039827165132444,-2983,-47.222846863053746,-2100
President,TN,Jefferson,089,-59.269139566395665,-13997,-59.334526692639784,-11270
President,TN,Johnson,091,-66.94013588001538,-5222,-67.29713239780354,-4412
President,TN,Knox,093,-15.015687625818387,-33118,-23.910278580433545,-42863
President,TN,Lake,095,-47.49262536873157,-966,-39.59390862944162,-780
President,TN,Lauderdale,097,-27.674288901282765,-2481,-14.150725973726665,-1228
President,TN,Lawrence,099,-64.85201410407095,-12139,-61.29773917486269,-9598
President,TN,Lewis,101,-60.65252273132466,-3402,-58.44381656161704,-2689
President,TN,Lincoln,103,-59.982060481804204,-9362,-58.96759608138659,-7825
President,TN,Loudon,105,-50.31178655399189,-14765,-54.37693099897013,-12672
President,TN,McMinn,107,-60.57170372964455,-13837,-59.7303947790735,-11166
President,TN,McNairy,109,-63.41463414634146,-7150,-59.711011459890386,-5992
President,TN,Macon,111,-71.56108358806789,-6789,-69.27903871829105,-5189
President,TN,Madison,113,-12.928987194412107,-5553,-15.5783285668891,-5883
President,TN,Marion,115,-50.79963789981895,-6734,-44.78397341211226,-4851
President,TN,Marshall,117,-49.993278666487434,-7438,-46.64971057709174,-5319
President,TN,Maury,119,-36.53471076151489,-17046,-39.22379377209992,-13755
President,TN,Meigs,121,-62.52711496746204,-3459,-57.55045233124565,-2481
President,TN,Monroe,123,-62.60037505409434,-13019,-59.6891495601173,-10177
President,TN,Montgomery,125,-12.656661194924308,-9715,-18.565592374035408,-10634
President,TN,Moore,127,-65.41395874540831,-2315,-62.50854408749146,-1829
President,TN,Morgan,129,-70.04132231404958,-5763,-65.66626650660264,-4376
President,TN,Obion,131,-60.653797796021,-8201,-58.08721263192342,-7100
President,TN,Overton,133,-58.63305768655973,-5885,-50.17693715680293,-4112
President,TN,Perry,135,-63.010501750291716,-2160,-54.99124343257443,-1570
President,TN,Pickett,137,-63.32309791879904,-1856,-56.841701801456495,-1483
President,TN,Polk,139,-63.39712918660287,-5300,-58.97239263803681,-3845
President,TN,Putnam,141,-43.38403834132111,-14574,-45.0107574745901,-12134
President,TN,Rhea,143,-63.657695974187874,-8681,-61.28266033254157,-6708
President,TN,Roane,145,-50.88166068603619,-13187,-51.11214087117702,-11030
President,TN,Robertson,147,-46.99113206987573,-15844,-47.18216108276015,-12759
President,TN,Rutherford,149,-15.387342053684371,-22139,-26.09981411592407,-27801
President,TN,Scott,151,-77.52982766239505,-7018,-71.73943563105433,-5110
President,TN,Sequatchie,153,-62.83783783783784,-4557,-59.69648844185636,-3383
President,TN,Sevier,155,-57.56747444584817,-25062,-61.6832504145937,-22317
President,TN,Shelby,157,30.43802593867375,116290,27.62964012041186,91692
President,TN,Smith,159,-58.932714617169374,-5334,-51.24156545209177,-3797
President,TN,Stewart,161,-59.053367217280815,-3718,-50.00946431951542,-2642
President,TN,Sullivan,163,-51.89558481380368,-38588,-56.24290010023388,-33667
President,TN,Sumner,165,-38.620317391773725,-35774,-44.95216657287563,-31952
President,TN,Tipton,167,-48.458327230115714,-13233,-47.55262707513264,-11114
President,TN,Trousdale,169,-48.124062031015505,-1924,-36.791852323360914,-1156
President,TN,Unicoi,171,-59.99759239195859,-4984,-61.48478928272397,-4406
President,TN,Union,173,-68.37375353933275,-5554,-64.70019342359768,-4014
President,TN,Van Buren,175,-61.55426223895926,-1798,-52.99958626396359,-1281
President,TN,Warren,177,-49.509650821412954,-7926,-44.23147806855879,-6000
President,TN,Washington,179,-36.22078633955118,-21806,-42.85685373702212,-21176
President,TN,Wayne,181,-74.59889038836407,-4975,-73.89592605272168,-4317
President,TN,Weakley,183,-53.7022206042956,-7376,-51.38121546961326,-6231
President,TN,White,185,-62.740647330811264,-7463,-59.48240589198036,-5815
President,TN,Williamson,187,-26.117856937330956,-36308,-35.49952244508118,-37168
President,TN,Wilson,189,-37.72635544194807,-28042,-44.323632874960026,-24948
President,TX,Anderson,001,-58.01737140479534,-11155,-58.074258305205184,-9807
President,TX,Andrews,003,-69.8106771277503,-4093,-62.70807957775071,-3089
President,TX,Angelina,005,-46.083762364782785,-15933,-47.29829260127218,-14128
President,TX,Aransas,007,-51.44833197721725,-6323,-50.36782268080634,-5272
President,TX,Archer,009,-80.35863219349459,-3854,-79.43312251112673,-3391
President,TX,Armstrong,011,-86.33093525179856,-960,-83.9724680432645,-854
President,TX,Atascosa,013,-34.01589579423777,-6163,-29.1289966923925,-3963
President,TX,Austin,015,-58.37570427373918,-8496,-59.71440228478172,-7318
President,TX,Bailey,017,-55.10752688172043,-1025,-53.026905829596416,-946
President,TX,Bandera,019,-59.39441604404247,-7552,-62.98834818368746,-6433
President,TX,Bastrop,021,-13.751534160643665,-5042,-20.3858407079646,-5759
President,TX,Baylor,023,-77.02702702702703,-1311,-72.11796246648794,-1076
President,TX,Bee,025,-28.853503184713375,-2718,-15.370063844880587,-1300
President,TX,Bell,027,-8.540922473012758,-10879,-15.07675613570357,-14172
President,TX,Bexar,029,18.185010247713773,139834,13.485473638228237,79030
President,TX,Blanco,031,-47.46673834162075,-3532,-52.35491268301288,-2968
President,TX,Borden,033,-91.58653846153847,-381,-81.91780821917808,-299
President,TX,Bosque,035,-64.73811089195705,-5908,-64.74284981403103,-5048
President,TX,Bowie,037,-42.78246778704163,-16369,-46.65506237307804,-16082
President,TX,Brazoria,039,-18.1986527641563,-28205,-24.587683713506685,-29578
President,TX,Brazos,041,-14.320311306003926,-12181,-23.655278938760677,-15621
President,TX,Brewster,043,-4.209871422646205,-203,-4.827259820160909,-204
President,TX,Briscoe,045,-77.37931034482759,-561,-72.75204359673025,-534
President,TX,Brooks,047,19.00161030595813,472,51.00154083204931,1324
President,TX,Brown,049,-72.58438224059114,-11591,-74.47845723707793,-10389
President,TX,Burleson,051,-57.5560459983738,-4955,-55.0755939524838,-3825
President,TX,Burnet,053,-53.11324189828863,-13128,-56.75732437257167,-10810
President,TX,Caldwell,055,-9.0763374073332,-1359,-15.825433427278162,-1853
President,TX,Calhoun,057,-44.462830957230146,-3493,-36.222509702457955,-2520
President,TX,Callahan,059,-77.25409836065573,-5278,-77.21382289416847,-4290
President,TX,Cameron,061,13.16499378142134,15031,32.55522635179295,29887
President,TX,Camp,063,-44.11067193675889,-2232,-42.73447820343461,-1941
President,TX,Carson,065,-79.5003203074952,-2482,-80.4074702886248,-2368
President,TX,Cass,067,-59.15128886335894,-8238,-59.7277270377391,-6932
President,TX,Castro,069,-54.53672587614018,-1136,-44.43887775551102,-887
President,TX,Chambers,071,-61.68483280990209,-13356,-62.055098733569416,-10339
President,TX,Cherokee,073,-55.828378101291776,-10891,-56.46368480929286,-9430
President,TX,Childress,075,-71.6542343132953,-1633,-74.3282149712092,-1549
President,TX,Clay,077,-77.5997213029089,-4455,-76.63141089602874,-3840
President,TX,Cochran,079,-63.2,-632,-54.27302996670366,-489
President,TX,Coke,081,-79.14558740865655,-1408,-79.05832747716093,-1125
President,TX,Coleman,083,-77.35208535402522,-3190,-76.75378266850069,-2790
President,TX,Collin,085,-4.342199359630731,-21373,-16.98467234149967,-60558
President,TX,Collingsworth,087,-73.31691297208539,-893,-72.61698440207972,-838
President,TX,Colorado,089,-50.64661654135338,-5052,-51.25,-4346
President,TX,Comal,091,-42.665676378245166,-37914,-50.07552747413387,-30830
President,TX,Comanche,093,-71.0483075911929,-4324,-67.4347158218126,-3512
President,TX,Concho,095,-67.90220820189275,-861,-69.0721649484536,-737
President,TX,Cooke,097,-65.23067200337054,-12386,-68.132628664905,-10829
President,TX,Coryell,099,-33.51638995317156,-7873,-39.471506592376016,-7155
President,TX,Cottle,101,-64.50151057401813,-427,-68.95368782161235,-402
President,TX,Crane,103,-66.93280106453759,-1006,-54.16364952932658,-748
President,TX,Crockett,105,-55.65438373570521,-876,-43.584229390681,-608
President,TX,Crosby,107,-44.495647721454176,-869,-41.58878504672897,-712
President,TX,Culberson,109,2.662037037037037,23,22.834645669291337,174
President,TX,Dallam,111,-74.08328154133002,-1192,-67.49185667752442,-1036
President,TX,Dallas,113,31.628470180266003,291500,26.241292534859834,196980
